id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
3478,White,Male,No,No,No,No,No,No,No,No,No,No,No
3479,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3480,White,Male,No,No,No,No,No,No,No,No,No,No,No
3481,White,Female,No,No,No,No,No,No,No,No,No,No,No
3482,White,Male,No,No,No,No,No,No,No,No,Yes,No,No
3483,White,Male,No,No,No,No,No,No,No,No,No,No,No
3484,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3485,Black,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
3486,Asian/PI,Male,No,No,Yes,No,No,No,No,No,No,No,No
3487,White,Male,No,No,No,No,No,No,No,No,No,No,No
3488,White,Female,No,No,No,No,No,No,No,No,No,No,No
3489,White,Male,No,No,No,No,No,No,No,No,No,No,No
3490,White,Female,No,No,No,No,No,No,No,No,No,No,No
3491,White,Female,No,No,No,No,No,No,No,No,No,No,No
3492,White,Female,No,No,No,No,No,No,Yes,No,No,No,No
3493,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3494,NA,Female,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3495,White,Male,No,No,No,No,No,No,No,No,No,No,No
3496,White,Male,No,No,No,No,No,No,No,No,No,No,No
3497,White,Male,No,No,No,No,No,No,No,No,No,No,No
3498,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3499,Black,Female,No,No,No,No,No,No,No,Yes,No,No,No
3500,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3501,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3502,Black,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3503,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3504,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3505,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3506,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
3507,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3508,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
3509,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
3510,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3511,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3512,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3513,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3514,White,Female,No,No,No,No,No,No,No,No,No,No,No
3515,White,Male,No,No,No,No,No,No,No,No,No,No,No
3516,White,Female,No,No,No,No,No,No,No,No,No,No,No
3517,NA,Female,No,No,No,No,No,No,No,No,No,No,No
3518,White,Male,No,No,No,No,No,No,No,No,No,No,No
3519,White,Male,No,No,No,No,No,No,No,No,No,No,No
3520,White,Male,No,No,No,No,No,No,No,No,No,No,No
3521,White,Female,No,No,No,No,No,No,No,No,No,No,No
3522,White,Female,No,No,No,No,No,No,No,No,No,No,No
3523,White,Female,No,No,No,No,No,No,No,No,No,No,No
3524,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3525,White,Male,No,No,No,No,No,No,No,No,No,No,No
3526,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3527,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3528,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3529,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
3530,Black,Male,No,Yes,No,Yes,No,Yes,No,No,No,No,No
3531,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
3532,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
3533,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3534,White,Male,No,No,No,No,No,No,No,No,No,No,No
3535,White,Male,No,No,No,No,No,No,No,No,No,No,No
3536,White,Male,No,No,No,No,No,No,No,No,No,No,No
3537,White,Male,No,No,No,No,No,No,No,No,No,No,No
3538,White,Male,No,No,No,No,No,No,No,No,No,No,No
3539,White,Female,No,No,No,No,No,No,No,No,No,No,No
3540,White,Male,No,No,No,No,No,No,No,No,No,No,No
3541,White,Female,No,No,No,No,No,No,No,No,No,No,No
3542,White,Female,No,No,No,No,No,No,No,No,No,No,No
3543,White,Male,No,No,No,No,No,No,No,No,No,No,No
3544,White,Female,No,No,No,No,No,No,Yes,No,No,No,No
3545,White,Male,No,No,No,No,No,No,Yes,No,No,No,No
3546,White,Male,No,No,No,No,No,No,No,No,No,No,No
3547,White,Male,No,No,No,No,No,No,No,No,No,No,No
3548,White,Male,No,No,No,No,No,No,No,No,No,No,No
3549,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3550,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3551,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3552,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3553,White,Male,No,No,No,No,No,No,No,No,No,No,No
3554,White,Female,No,No,No,No,No,No,Yes,No,No,No,No
3555,White,Male,No,No,No,No,No,No,No,No,No,No,No
3556,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3557,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
3558,White,Male,No,No,No,No,No,No,No,No,No,No,No
3559,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3560,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
3561,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
3562,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3563,White,Female,No,No,No,Yes,No,No,No,No,No,No,No
3564,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3565,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3566,White,Female,No,No,No,No,No,No,Yes,No,No,No,No
3567,White,Female,No,No,No,No,No,No,No,No,No,No,No
3568,White,Male,No,No,No,No,No,No,No,No,No,No,No
3569,White,Female,No,No,No,No,No,No,No,No,No,No,No
3570,White,Male,No,No,No,No,No,No,No,No,No,No,No
3571,White,Female,No,No,No,No,No,No,No,No,No,No,No
3572,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3573,White,Female,No,No,No,No,No,No,No,No,No,No,No
3574,White,Male,No,No,No,No,No,No,No,No,No,No,No
3575,Native American,Female,No,No,No,No,No,No,No,No,No,Yes,No
3576,White,Male,No,No,No,No,No,No,No,No,No,No,No
3577,White,Male,No,No,No,No,No,No,No,No,No,No,No
